case_id,step,time_s,path_coordinate,nsub,accepted_substeps,reversal_registered,deps_xx,deps_yy,deps_zz,deps_xy,deps_yz,deps_xz,strain_total_xx,strain_total_yy,strain_total_zz,strain_total_xy,strain_total_yz,strain_total_xz,engineering_gamma_xz,mean_effective_pressure,q,ru_vertical,ru_mean,compatibility_residual,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,alpha_xx,alpha_yy,alpha_zz,alpha_xy,alpha_yz,alpha_xz,alpha0_xx,alpha0_yy,alpha0_zz,alpha0_xy,alpha0_yz,alpha0_xz,alpha01_xx,alpha01_yy,alpha01_zz,alpha01_xy,alpha01_yz,alpha01_xz,n_xx,n_yy,n_zz,n_xy,n_yz,n_xz,fabric_xx,fabric_yy,fabric_zz,fabric_xy,fabric_yz,fabric_xz,D,beta,lambda_total,ep_eq_since_reversal,void_ratio,reversals,pressure_floor_hits,denominator_floor_hits,beta_fallbacks,eps_v_total,eps_v_confining,eps_v_irreversible,eps_v_reversible,pressure_anchor,D_ir,D_re,last_reversal_deviator_xx,last_reversal_deviator_yy,last_reversal_deviator_zz,last_reversal_deviator_xy,last_reversal_deviator_yz,last_reversal_deviator_xz,cyclic_amplitude,amplitude_factor,amplitude_reversals,initial_relative_state,state_contraction_factor,effective_knee_ratio,geostatic_deviator_xx,geostatic_deviator_yy,geostatic_deviator_zz,geostatic_deviator_xy,geostatic_deviator_yz,geostatic_deviator_xz,static_bias_tensor_xx,static_bias_tensor_yy,static_bias_tensor_zz,static_bias_tensor_xy,static_bias_tensor_yz,static_bias_tensor_xz,cyclic_direction_xx,cyclic_direction_yy,cyclic_direction_zz,cyclic_direction_xy,cyclic_direction_yz,cyclic_direction_xz,static_bias_index,cyclic_phase_active,bias_ratchet_strain,physical_eps_v_total,bias_reversible_volume,last_host_deviatoric_strain_direction_xx,last_host_deviatoric_strain_direction_yy,last_host_deviatoric_strain_direction_zz,last_host_deviatoric_strain_direction_xy,last_host_deviatoric_strain_direction_yz,last_host_deviatoric_strain_direction_xz
cyclic_bias0375_dense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.266666666666666,33.156598136720845,0.0,0.0,0,-19.4,-19.4,-40.0,0.0,0.0,15.0,0.2614213197969544,0.2614213197969544,-0.5228426395939088,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022653179673444324,1000.0,0.0,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.266666666666666,0.022653179673444324,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_bias0375_dense,1,0.001,0.03125,1,1,0,0,0,0,0,0,0.00048772580504032064,0,0,0,0,0,0.00048772580504032064,0.00097545161008064129,26.266666666666666,33.97107622025033,0.16055149525395296,0.0,0,-22.611029905079057,-22.611029905079057,-33.57794018984188,0.0,0.0,18.563053793023215,0.13917398838531508,0.13917398838531508,-0.27834797677063017,0.0,0.0,0.7067152459272797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13179512907972246,0.13179512907972246,-0.2635902581594449,0.0,0.0,0.6692459427240317,0.0,0.0,0.0,0.0,0.0,0.0,-0.026600177981280695,1e-06,0.0,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.266666666666666,0.0,-0.026600177981280695,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
cyclic_bias0375_dense,2,0.002,0.0625,1,1,0,0,0,0,0,0,0.00046898277587240387,0,0,0,0,0,0.00095670858091272452,0.001913417161825449,26.988147259007224,34.902612337623204,0.3068891580729267,-0.027467535241391783,0,-26.620004049969374,-26.620004049969374,-27.72443367708293,0.0,0.0,20.14094158001856,0.013640921901928078,0.013640921901928078,-0.027281843803856155,0.0,0.0,0.7462884127140876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012918273934490684,0.012918273934490684,-0.025836547868981367,0.0,0.0,0.706752682765096,-0.0041850772511625445,-0.0041850772511625445,0.008370154502325089,0.0,0.0,-0.021251513541391605,-0.02658888470184529,1e-06,0.0006091916815549707,0.0006091916815549707,0.536,0.0,0.0,0.0,0.0,0.0,-1.620460715407789e-05,0.0,1.620460715407789e-05,26.266666666666666,0.0,-0.02658888470184529,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475
cyclic_bias0375_dense,3,0.0030000000000000001,0.09375,1,1,0,0,0,0,0,0,0.00043221700163628089,0,0,0,0,0,0.0013889255825490054,0.0027778511650980108,27.702286766309328,35.82461712771203,0.30491426524618714,-0.05465558754984756,0,-27.651715454387737,-27.651715454387737,-27.803429390152516,0.0,0.0,20.68316686929134,0.0018255284247181436,0.0018255284247181436,-0.0036510568494365434,0.0,0.0,0.7466230872480021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017288937016329388,0.0017288937016329388,-0.00345778740326612,0.0,0.0,0.707100440375839,-0.004544568427376821,-0.004544568427376821,0.009089136854753642,0.0,0.0,-0.04288382259543516,-0.026577913558592223,1e-06,0.001202098789400626,0.001202098789400626,0.536,0.0,0.0,0.0,0.0,0.0,-3.196934588349057e-05,0.0,3.196934588349057e-05,26.266666666666666,0.0,-0.026577913558592223,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475
cyclic_bias0375_dense,4,0.0040000000000000001,0.125,1,1,0,0,0,0,0,0,0.00037884137041736322,0,0,0,0,0,0.0017677669529663686,0.0035355339059327372,28.338300441689814,36.64124189387685,0.29090936173789705,-0.07886930615570353,0,-28.325637897292662,-28.325637897292662,-28.363625530484118,0.0,0.0,21.15481950183236,0.0004468349971518751,0.0004468349971518751,-0.0008936699943038138,0.0,0.0,0.7465098178827444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042324947265969063,0.00042324947265969063,-0.0008464989453194415,0.0,0.0,0.7071064011728727,-0.004553705466423972,-0.004553705466423972,0.009107410932847951,0.0,0.0,-0.061676510264616395,-0.026545445802258462,0.00012200590490514579,0.0017220489294852035,0.0017220489294852035,0.536,0.0,0.0,0.0,0.0,0.0,-4.578853576143639e-05,0.0,4.578853576143639e-05,26.266666666666666,0.0,-0.026545445802258462,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475
cyclic_bias0375_dense,5,0.0050000000000000001,0.15625,1,1,0,0,0,0,0,0,0.00031090707778999452,0,0,0,0,0,0.0020786740307563631,0.0041573480615127263,28.866662549598914,37.32069876670045,0.2780867944860035,-0.09898461483244603,0,-28.86172971411844,-28.86172971411844,-28.87652822055986,0.0,0.0,21.547113785369675,0.00017088347057780248,0.00017088347057780248,-0.0003417669411555668,0.0,0.0,0.7464359188855748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016187973847690118,0.00016187973847690118,-0.00032375947695376616,0.0,0.0,0.7071067255972402,-0.004532150935701182,-0.004532150935701182,0.00906430187140237,0.0,0.0,-0.07695334392588848,-0.02652479948443287,0.00019023201702327,0.002148775046474813,0.002148775046474813,0.536,0.0,0.0,0.0,0.0,0.0,-5.711617077239228e-05,0.0,5.711617077239228e-05,26.266666666666666,0.0,-0.02652479948443287,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
cyclic_bias0375_dense,6,0.0060000000000000001,0.1875,1,1,0,0,0,0,0,0,0.00023102480052185391,0,0,0,0,0,0.0023096988312782171,0.0046193976625564341,29.26308618846902,37.83138401360205,0.26828737149525905,-0.11407688534780536,0,-29.260376712608714,-29.260376712608714,-29.26850514018964,0.0,0.0,21.8419592399071,9.259022930318975e-05,9.259022930318975e-05,-0.0001851804586062751,0.0,0.0,0.7463997166680874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.771597314230099e-05,8.771597314230099e-05,-0.00017543194628450308,0.0,0.0,0.7071067648649136,-0.004511947598132084,-0.004511947598132084,0.009023895196264176,0.0,0.0,-0.08821933882499888,-0.026514210229141588,0.00021561589195326597,0.0024658667841314873,0.0024658667841314873,0.536,0.0,0.0,0.0,0.0,0.0,-6.552696553190596e-05,0.0,6.552696553190596e-05,26.266666666666666,0.0,-0.026514210229141588,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475
cyclic_bias0375_dense,7,0.0070000000000000001,0.21875,1,1,0,0,0,0,0,0,0.00014226436972985916,0,0,0,0,0,0.0024519632010080762,0.0049039264020161524,29.50885787873122,38.14855761519014,0.26218050392295755,-0.12343367558621399,0,-29.50689689655598,-29.50689689655598,-29.5127798430817,0.0,0.0,22.025079746434685,6.645401808833364e-05,6.645401808833364e-05,-0.0001329080361768163,0.0,0.0,0.7463887567912096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.295658373878597e-05,6.295658373878597e-05,-0.00012591316747771313,0.0,0.0,0.7071067727786277,-0.004498821620504658,-0.004498821620504658,0.008997643241009321,0.0,0.0,-0.09511920840998277,-0.026510539478506158,0.00021605114430544052,0.002661132884281204,0.002661132884281204,0.536,0.0,0.0,0.0,0.0,0.0,-7.070429196190015e-05,0.0,7.070429196190015e-05,26.266666666666666,0.0,-0.026510539478506158,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
cyclic_bias0375_dense,8,0.0080000000000000002,0.25,1,1,0,0,0,0,0,0,4.8036798991923837e-05,0,0,0,0,0,0.0025000000000000001,0.0050000000000000001,29.592135604248615,38.25622201636254,0.26010768008380736,-0.12660414736987113,0,-29.59035700804907,-29.59035700804907,-29.595692796647704,0.0,0.0,22.087239864490254,6.0103678333021125e-05,6.0103678333021125e-05,-0.00012020735666590837,0.0,0.0,0.746388843301973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6940452006408194e-05,5.6940452006408194e-05,-0.00011388090401268955,0.0,0.0,0.7071067743087707,-0.004494319073257978,-0.004494319073257978,0.008988638146515961,0.0,0.0,-0.09744146081485139,-0.026510251120360876,0.00021112335167788808,0.0027270664718146184,0.0027270664718146184,0.536,0.0,0.0,0.0,0.0,0.0,-7.245222693716428e-05,0.0,7.245222693716428e-05,26.266666666666666,0.0,-0.026510251120360876,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,1.0,0.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,0.0,0.0,0.0,0.0,0.0,0.0,0.8076092678526559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475
cyclic_bias0375_dense,9,0.0090000000000000011,0.28125,1,1,1,0,0,0,0,0,-4.8036798991923837e-05,0,0,0,0,0,0.0024519632010080762,0.0049039264020161524,29.977251723798044,34.59375431962164,0.25047977709507174,-0.14126592857099163,0,-29.975473127598498,-29.975473127598498,-29.98080891619713,0.0,0.0,19.97271313113386,5.933152965234908e-05,5.933152965234908e-05,-0.00011866305930446113,0.0,0.0,0.6662623150099555,6.0103678333021125e-05,6.0103678333021125e-05,-0.00012020735666590837,0.0,0.0,0.746388843301973,0.0,0.0,0.0,0.0,0.0,0.0,5.692843308347396e-05,5.692843308347396e-05,-0.00011385686617184656,0.0,0.0,-0.7071067743116738,-0.004494319073257978,-0.004494319073257978,0.008988638146515961,0.0,0.0,-0.09744146081485139,0.021835548656931162,19.893158816230738,0.0027270664718146184,0.0,0.536,1.0,0.0,0.0,0.0,-8.041976061316244e-06,-8.049420299848053e-05,0.0,7.245222693716428e-05,26.266666666666666,9.988057578187583e-05,0.021735668081149285,0.0017785961995429034,0.0017785961995429034,-0.0035571923990893595,0.0,0.0,22.087239864490254,0.7452775261093418,7.2437352153398535,1.0,0.6813040730348456,0.01669589175542222,0.85,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5710659898477157,-0.3506795758461236,-0.3506795758461236,0.7013591516922469,0.0,0.0,0.36203798868785686,0.8076092678526559,1.0,0.0,0.0,-8.041976061316244e-06,0.0,0.0,0.0,0.0,0.0,-0.7071067811865475
