case_id,step,time_s,path_coordinate,nsub,accepted_substeps,reversal_registered,deps_xx,deps_yy,deps_zz,deps_xy,deps_yz,deps_xz,strain_total_xx,strain_total_yy,strain_total_zz,strain_total_xy,strain_total_yz,strain_total_xz,engineering_gamma_xz,mean_effective_pressure,q,ru_vertical,ru_mean,compatibility_residual,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,alpha_xx,alpha_yy,alpha_zz,alpha_xy,alpha_yz,alpha_xz,alpha0_xx,alpha0_yy,alpha0_zz,alpha0_xy,alpha0_yz,alpha0_xz,alpha01_xx,alpha01_yy,alpha01_zz,alpha01_xy,alpha01_yz,alpha01_xz,n_xx,n_yy,n_zz,n_xy,n_yz,n_xz,fabric_xx,fabric_yy,fabric_zz,fabric_xy,fabric_yz,fabric_xz,D,beta,lambda_total,ep_eq_since_reversal,void_ratio,reversals,pressure_floor_hits,denominator_floor_hits,beta_fallbacks,eps_v_total,eps_v_confining,eps_v_irreversible,eps_v_reversible,pressure_anchor,D_ir,D_re,last_reversal_deviator_xx,last_reversal_deviator_yy,last_reversal_deviator_zz,last_reversal_deviator_xy,last_reversal_deviator_yz,last_reversal_deviator_xz,cyclic_amplitude,amplitude_factor,amplitude_reversals,initial_relative_state,state_contraction_factor,effective_knee_ratio,geostatic_deviator_xx,geostatic_deviator_yy,geostatic_deviator_zz,geostatic_deviator_xy,geostatic_deviator_yz,geostatic_deviator_xz,static_bias_tensor_xx,static_bias_tensor_yy,static_bias_tensor_zz,static_bias_tensor_xy,static_bias_tensor_yz,static_bias_tensor_xz,cyclic_direction_xx,cyclic_direction_yy,cyclic_direction_zz,cyclic_direction_xy,cyclic_direction_yz,cyclic_direction_xz,static_bias_index,cyclic_phase_active,bias_ratchet_strain,physical_eps_v_total,bias_reversible_volume,last_host_deviatoric_strain_direction_xx,last_host_deviatoric_strain_direction_yy,last_host_deviatoric_strain_direction_zz,last_host_deviatoric_strain_direction_xy,last_host_deviatoric_strain_direction_yz,last_host_deviatoric_strain_direction_xz
mixed_3d_bias015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.266666666666666,23.07292785928999,0.0,0.0,0,-19.4,-19.4,-40.0,0.0,0.0,6.0,0.2614213197969544,0.2614213197969544,-0.5228426395939088,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022762513538476494,1000.0,0.0,0.0,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.266666666666666,0.022762513538476494,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_3d_bias015,1,0.00050000000000000001,0.025000000000000001,2,2,0,-1.5e-05,-1.5e-05,-1.5e-05,0,0,0,-1.5e-05,-1.5e-05,-1.5e-05,0,0,0,0,28.301756206089152,23.07292785928999,-0.05087723848556225,-0.07747802815060223,0,-21.435089539422485,-21.435089539422485,-42.035089539422486,0.0,0.0,6.0,0.24262334169882,0.24262334169882,-0.4852466833976401,0.0,0.0,0.21200097818343494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36449274382702346,0.36449274382702346,-0.7289854876540471,0.0,0.0,0.31848880528574863,0.0,0.0,0.0,0.0,0.0,0.0,0.005152827884103224,0.5672532011002128,0.0,0.0,0.6009279558105062,0.0,0.0,0.0,0.0,-4.5e-05,-4.5e-05,0.0,0.0,26.266666666666666,0.005152827884103224,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-4.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_3d_bias015,2,0.001,0.050000000000000003,2,2,0,-1.5e-05,-1.5e-05,-1.5e-05,0,0,0,-3.0000000000000001e-05,-3.0000000000000001e-05,-3.0000000000000001e-05,0,0,0,0,30.43665083922171,23.07292785928999,-0.10424960431387609,-0.1587557426099635,0,-23.569984172555042,-23.569984172555042,-44.16998417255505,0.0,0.0,6.0,0.2256051989076947,0.2256051989076947,-0.4512103978153894,0.0,0.0,0.19713075632711186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36449274382702346,0.36449274382702346,-0.7289854876540469,0.0,0.0,0.3184888052857486,0.0,0.0,0.0,0.0,0.0,0.0,0.00597801961296252,0.6852898499941659,0.0,0.0,0.6008559148629644,0.0,0.0,0.0,0.0,-9e-05,-9e-05,0.0,0.0,26.266666666666666,0.00597801961296252,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_3d_bias015,3,0.0015,0.074999999999999997,2,2,0,-1.5e-05,-1.5e-05,-1.5e-05,0,0,0,-4.5000000000000003e-05,-4.5000000000000003e-05,-4.5000000000000003e-05,0,0,0,0,32.67355198396487,23.07292785928999,-0.16017213293245502,-0.24391695370424626,0,-25.806885317298203,-25.806885317298203,-46.406885317298205,0.0,0.0,6.0,0.2101597851998646,0.2101597851998646,-0.4203195703997292,0.0,0.0,0.183634763766872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36449274382702346,0.36449274382702346,-0.7289854876540469,0.0,0.0,0.3184888052857487,0.0,0.0,0.0,0.0,0.0,0.0,0.006654256610330967,0.8089486391555729,0.0,0.0,0.6007838771572289,0.0,0.0,0.0,0.0,-0.000135,-0.000135,0.0,0.0,26.266666666666666,0.006654256610330967,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-0.000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_3d_bias015,4,0.002,0.10000000000000001,2,2,0,-1.5e-05,-1.5e-05,-1.5e-05,0,0,0,-6.0000000000000002e-05,-6.0000000000000002e-05,-6.0000000000000002e-05,0,0,0,0,35.014653166812096,23.07292785928999,-0.2186996625036357,-0.33304517132533373,0,-28.14798650014543,-28.14798650014543,-48.74798650014543,0.0,0.0,6.0,0.19610837308464596,0.19610837308464596,-0.3922167461692919,0.0,0.0,0.1713568308506615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36449274382702346,0.36449274382702346,-0.7289854876540469,0.0,0.0,0.3184888052857485,0.0,0.0,0.0,0.0,0.0,0.0,0.0071949194543645565,0.9383492125372014,0.0,0.0,0.6007118426931537,0.0,0.0,0.0,0.0,-0.00018,-0.00018,0.0,0.0,26.266666666666666,0.0071949194543645565,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_3d_bias015,5,0.0025000000000000001,0.125,2,2,0,0,0,0,0,0,0.0001875,-6.0000000000000002e-05,-6.0000000000000002e-05,-6.0000000000000002e-05,0,0,0.0001875,0.00037500000000000001,34.96248776170991,25.393538182396163,-0.10549367439110768,-0.3310591787453012,1.0587911840678754e-21,-30.33385815474271,-30.33385815474271,-44.219746975644306,0.0,0.0,12.27482346206212,0.13238845125993476,0.13238845125993476,-0.2647769025198695,0.0,0.0,0.35108552760096257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22324145347473662,0.22324145347473662,-0.44648290694947323,0.0,0.0,0.5920217566538083,0.0,0.0,0.0,0.0,0.0,0.0,0.006402128257358552,0.7585923363249802,0.00014146331626053543,0.00014146331626053543,0.6007118426931537,0.0,0.0,0.0,0.0,-0.00018,-0.0001790189436071251,-9.810563928749048e-07,0.0,26.266666666666666,0.006402128257358552,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
mixed_3d_bias015,6,0.0030000000000000001,0.14999999999999999,2,2,0,0,0,0,0,0,0.0001875,-6.0000000000000002e-05,-6.0000000000000002e-05,-6.0000000000000002e-05,0,0,0.00037500000000000001,0.00075000000000000002,34.88958972165357,26.723872315688478,-0.0003764663589487238,-0.3282838726517858,-8.8938459461701536e-21,-32.326855255301375,-32.326855255301375,-40.01505865435795,0.0,0.0,14.776748402360107,0.07345269711674711,0.07345269711674711,-0.14690539423349422,0.0,0.0,0.42352886692700764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11744914274869925,0.11744914274869925,-0.2348982854973985,0.0,0.0,0.6772127410221893,0.0,0.0,0.0,0.0,0.0,0.0,0.005870402850129176,0.6675703691451705,0.0003611015038736654,0.0003611015038736654,0.6007118426931537,0.0,0.0,0.0,0.0,-0.00018,-0.00017764638074152278,-2.3536192584772205e-06,0.0,26.266666666666666,0.005870402850129176,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
mixed_3d_bias015,7,0.0035000000000000001,0.17499999999999999,2,2,0,0,0,0,0,0,0.0001875,-6.0000000000000002e-05,-6.0000000000000002e-05,-6.0000000000000002e-05,0,0,0.00056250000000000007,0.0011250000000000001,34.814999273914566,27.635303946974446,0.06158262993767438,-0.3254441347937018,-2.1175823681357508e-21,-33.45415150962533,-33.45415150962533,-37.536694802493024,0.0,0.0,15.780186569487725,0.03908797336407968,0.03908797336407968,-0.07817594672815967,0.0,0.0,0.4532582765644682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06031022214396202,0.06031022214396202,-0.12062044428792451,0.0,0.0,0.6993482904210446,0.0,0.0,0.0,0.0,0.0,0.0,0.005473455224441901,0.609131400196037,0.0006050378474333497,0.0006050378474333497,0.6007118426931537,0.0,0.0,0.0,0.0,-0.00018,-0.0001762400214624326,-3.7599785375674227e-06,0.0,26.266666666666666,0.005473455224441901,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
mixed_3d_bias015,8,0.0040000000000000001,0.20000000000000001,2,2,0,0,0,0,0,0,0.0001875,-6.0000000000000002e-05,-6.0000000000000002e-05,-6.0000000000000002e-05,0,0,0.00075000000000000002,0.0015,34.74344659069919,28.394400599292606,0.09515544271129062,-0.3227200478692587,1.3552527156068805e-20,-34.0182787402746,-34.0182787402746,-36.193782291548374,0.0,0.0,16.345327259816525,0.020872075789358045,0.020872075789358045,-0.04174415157871637,0.0,0.0,0.4704578521634685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03127889960556879,0.03127889960556879,-0.062557799211138,0.0,0.0,0.7050282911475214,0.0,0.0,0.0,0.0,0.0,0.0,0.005124890915207442,0.5628998953535042,0.000855945133926972,0.000855945133926972,0.6007118426931537,0.0,0.0,0.0,0.0,-0.00018,-0.00017488909576789927,-5.110904232100759e-06,0.0,26.266666666666666,0.005124890915207442,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
mixed_3d_bias015,9,0.0045000000000000005,0.22500000000000001,2,2,0,0,0,0,0,0,0.0001875,-6.0000000000000002e-05,-6.0000000000000002e-05,-6.0000000000000002e-05,0,0,0.00093749999999999997,0.0018749999999999999,34.67589052015922,29.0788527442216,0.11352518437882342,-0.3201481162497166,-1.3552527156068805e-20,-34.2843394678153,-34.2843394678153,-35.45899262484706,0.0,0.0,16.774980048480927,0.011291737471494435,0.011291737471494435,-0.022583474942988888,0.0,0.0,0.48376493860276215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01649137080696865,0.01649137080696865,-0.03298274161393732,0.0,0.0,0.7065296200915578,0.0,0.0,0.0,0.0,0.0,0.0,0.004798579361406745,0.5231505787896835,0.0011092373888246547,0.0011092373888246547,0.6007118426931537,0.0,0.0,0.0,0.0,-0.00018,-0.00017361196600928743,-6.3880339907125685e-06,0.0,26.266666666666666,0.004798579361406745,0.0,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,1.0,0.0,0.44056333229410505,1.0000000000383171,0.8499999999814604,6.866666666666667,6.866666666666667,-13.733333333333334,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2284263959390863,0.0,0.0,0.0,0.0,0.0,0.0,0.3230437071410623,1.0,0.0,-0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
